Year,Month,Day,Minimum Temperature (Â°C),data Completeness
2020.0,1.0,1.0,16.7,C
2020.0,1.0,2.0,14.5,C
2020.0,1.0,3.0,14.4,C
2020.0,1.0,4.0,14.1,C
2020.0,1.0,5.0,18.4,C
2020.0,1.0,6.0,20,C
2020.0,1.0,7.0,18.7,C
2020.0,1.0,8.0,18.9,C
2020.0,1.0,9.0,18,C
2020.0,1.0,10.0,18.5,C
2020.0,1.0,11.0,17.9,C
2020.0,1.0,12.0,13.9,C
2020.0,1.0,13.0,16.3,C
2020.0,1.0,14.0,16.9,C
2020.0,1.0,15.0,17.6,C
2020.0,1.0,16.0,18,#
2020.0,1.0,17.0,15.2,#
2020.0,1.0,18.0,14.4,C
2020.0,1.0,19.0,14.8,C
2020.0,1.0,20.0,14.4,C
2020.0,1.0,21.0,13.9,C
2020.0,1.0,22.0,17.6,C
2020.0,1.0,23.0,20,C
2020.0,1.0,24.0,19.9,C
2020.0,1.0,25.0,18,C
2020.0,1.0,26.0,13.1,C
2020.0,1.0,27.0,10,C
2020.0,1.0,28.0,9.5,C
2020.0,1.0,29.0,10.2,C
2020.0,1.0,30.0,11.6,C
2020.0,1.0,31.0,10.1,C
2020.0,2.0,1.0,9,C
2020.0,2.0,2.0,15.5,C
2020.0,2.0,3.0,15.6,C
2020.0,2.0,4.0,14.7,C
2020.0,2.0,5.0,16.5,C
2020.0,2.0,6.0,15.7,C
2020.0,2.0,7.0,17.3,C
2020.0,2.0,8.0,15.8,C
2020.0,2.0,9.0,13.7,C
2020.0,2.0,10.0,14.7,C
2020.0,2.0,11.0,16.6,C
2020.0,2.0,12.0,18,C
2020.0,2.0,13.0,17.9,C
2020.0,2.0,14.0,18.9,C
2020.0,2.0,15.0,19.7,C
2020.0,2.0,16.0,10.1,C
2020.0,2.0,17.0,9.5,C
2020.0,2.0,18.0,10.4,C
2020.0,2.0,19.0,11.8,C
2020.0,2.0,20.0,12.3,C
2020.0,2.0,21.0,14.7,C
2020.0,2.0,22.0,13.1,C
2020.0,2.0,23.0,16.8,#
2020.0,2.0,24.0,17.3,C
2020.0,2.0,25.0,19.2,C
2020.0,2.0,26.0,17.7,#
2020.0,2.0,27.0,18.4,#
2020.0,2.0,28.0,17.9,#
2020.0,2.0,29.0,17.6,#
2020.0,3.0,1.0,17.9,#
2020.0,3.0,2.0,18.5,C
2020.0,3.0,3.0,17.9,C
2020.0,3.0,4.0,17.1,C
2020.0,3.0,5.0,15.1,C
2020.0,3.0,6.0,16.8,C
2020.0,3.0,7.0,18.8,C
2020.0,3.0,8.0,19.8,#
2020.0,3.0,9.0,20.4,C
2020.0,3.0,10.0,19.4,#
2020.0,3.0,11.0,17.5,C
2020.0,3.0,12.0,17.6,C
2020.0,3.0,13.0,19.8,C
2020.0,3.0,14.0,19,C
2020.0,3.0,15.0,18.4,C
2020.0,3.0,16.0,17.1,C
2020.0,3.0,17.0,19.4,C
2020.0,3.0,18.0,18.9,C
2020.0,3.0,19.0,18.7,C
2020.0,3.0,20.0,19.8,C
2020.0,3.0,21.0,20.6,C
2020.0,3.0,22.0,21,C
2020.0,3.0,23.0,19.9,C
2020.0,3.0,24.0,20.3,C
2020.0,3.0,25.0,21,C
2020.0,3.0,26.0,21.7,C
2020.0,3.0,27.0,20.8,C
2020.0,3.0,28.0,18.7,C
2020.0,3.0,29.0,18.6,C
2020.0,3.0,30.0,19.3,C
2020.0,3.0,31.0,18.8,C
2020.0,4.0,1.0,17.9,C
2020.0,4.0,2.0,19.1,C
2020.0,4.0,3.0,19.2,C
2020.0,4.0,4.0,19.1,C
2020.0,4.0,5.0,16.6,C
2020.0,4.0,6.0,16.2,#
2020.0,4.0,7.0,17.1,#
2020.0,4.0,8.0,18.9,C
2020.0,4.0,9.0,17.5,#
2020.0,4.0,10.0,18,C
2020.0,4.0,11.0,20.9,C
2020.0,4.0,12.0,18.3,C
2020.0,4.0,13.0,16.4,C
2020.0,4.0,14.0,16.7,C
2020.0,4.0,15.0,14.9,C
2020.0,4.0,16.0,16.1,C
2020.0,4.0,17.0,20.4,C
2020.0,4.0,18.0,20,C
2020.0,4.0,19.0,23.1,C
2020.0,4.0,20.0,24.2,C
2020.0,4.0,21.0,23.6,C
2020.0,4.0,22.0,18.8,#
2020.0,4.0,23.0,18.8,C
2020.0,4.0,24.0,17.1,C
2020.0,4.0,25.0,17.4,C
2020.0,4.0,26.0,19,C
2020.0,4.0,27.0,19.4,C
2020.0,4.0,28.0,18.6,#
2020.0,4.0,29.0,20.5,#
2020.0,4.0,30.0,18.8,C
2020.0,5.0,1.0,22.1,C
2020.0,5.0,2.0,22.9,C
2020.0,5.0,3.0,23.5,C
2020.0,5.0,4.0,25.5,#
2020.0,5.0,5.0,26.5,C
2020.0,5.0,6.0,26.3,C
2020.0,5.0,7.0,27.8,C
2020.0,5.0,8.0,28.6,C
2020.0,5.0,9.0,27.9,C
2020.0,5.0,10.0,24.1,C
2020.0,5.0,11.0,23.9,#
2020.0,5.0,12.0,23.6,C
2020.0,5.0,13.0,24.8,C
2020.0,5.0,14.0,24.7,C
2020.0,5.0,15.0,26,C
2020.0,5.0,16.0,24.5,C
2020.0,5.0,17.0,25,C
2020.0,5.0,18.0,24.8,C
2020.0,5.0,19.0,24.2,C
2020.0,5.0,20.0,25.5,C
2020.0,5.0,21.0,25.4,C
2020.0,5.0,22.0,26.7,C
2020.0,5.0,23.0,24.8,C
2020.0,5.0,24.0,24.6,C
2020.0,5.0,25.0,25.3,C
2020.0,5.0,26.0,26.3,C
2020.0,5.0,27.0,25.4,C
2020.0,5.0,28.0,25.4,C
2020.0,5.0,29.0,26.1,C
2020.0,5.0,30.0,24.1,C
2020.0,5.0,31.0,25.8,C
2020.0,6.0,1.0,28.4,C
2020.0,6.0,2.0,27,C
2020.0,6.0,3.0,27.2,C
2020.0,6.0,4.0,28.6,C
2020.0,6.0,5.0,26.8,C
2020.0,6.0,6.0,23.7,C
2020.0,6.0,7.0,24.1,#
2020.0,6.0,8.0,25.1,C
2020.0,6.0,9.0,26.9,C
2020.0,6.0,10.0,26.8,#
2020.0,6.0,11.0,27.2,#
2020.0,6.0,12.0,26.5,#
2020.0,6.0,13.0,27.4,#
2020.0,6.0,14.0,25.5,C
2020.0,6.0,15.0,25.6,C
2020.0,6.0,16.0,26.2,C
2020.0,6.0,17.0,25.7,C
2020.0,6.0,18.0,26,#
2020.0,6.0,19.0,26.9,C
2020.0,6.0,20.0,27.9,C
2020.0,6.0,21.0,28.6,C
2020.0,6.0,22.0,28.7,#
2020.0,6.0,23.0,29,C
2020.0,6.0,24.0,28.9,C
2020.0,6.0,25.0,29,C
2020.0,6.0,26.0,29.5,C
2020.0,6.0,27.0,28.5,C
2020.0,6.0,28.0,27.4,C
2020.0,6.0,29.0,27,C
2020.0,6.0,30.0,28.1,C
2020.0,7.0,1.0,27,C
2020.0,7.0,2.0,26.9,C
2020.0,7.0,3.0,26.9,C
2020.0,7.0,4.0,26.8,C
2020.0,7.0,5.0,27.7,C
2020.0,7.0,6.0,28.6,C
2020.0,7.0,7.0,27.5,C
2020.0,7.0,8.0,29.1,C
2020.0,7.0,9.0,29,C
2020.0,7.0,10.0,29.2,C
2020.0,7.0,11.0,29.5,C
2020.0,7.0,12.0,28.6,C
2020.0,7.0,13.0,27.3,C
2020.0,7.0,14.0,28.8,C
2020.0,7.0,15.0,28.8,C
2020.0,7.0,16.0,28.7,#
2020.0,7.0,17.0,27.4,C
2020.0,7.0,18.0,29.1,C
2020.0,7.0,19.0,28.3,C
2020.0,7.0,20.0,27.4,C
2020.0,7.0,21.0,26.7,C
2020.0,7.0,22.0,27.5,C
2020.0,7.0,23.0,27.4,C
2020.0,7.0,24.0,27.3,C
2020.0,7.0,25.0,28.6,C
2020.0,7.0,26.0,29.1,C
2020.0,7.0,27.0,28.4,C
2020.0,7.0,28.0,27.3,C
2020.0,7.0,29.0,28,C
2020.0,7.0,30.0,27.3,C
2020.0,7.0,31.0,25.1,C
2020.0,8.0,1.0,25.5,C
2020.0,8.0,2.0,26.2,C
2020.0,8.0,3.0,25.3,C
2020.0,8.0,4.0,25.5,C
2020.0,8.0,5.0,24.7,C
2020.0,8.0,6.0,24.8,C
2020.0,8.0,7.0,27.7,C
2020.0,8.0,8.0,27.4,C
2020.0,8.0,9.0,26,C
2020.0,8.0,10.0,26.7,C
2020.0,8.0,11.0,28.2,C
2020.0,8.0,12.0,26.2,C
2020.0,8.0,13.0,25.4,C
2020.0,8.0,14.0,26.3,C
2020.0,8.0,15.0,26.2,C
2020.0,8.0,16.0,24.9,C
2020.0,8.0,17.0,25,C
2020.0,8.0,18.0,25.2,C
2020.0,8.0,19.0,25.3,C
2020.0,8.0,20.0,26.7,C
2020.0,8.0,21.0,26.5,C
2020.0,8.0,22.0,25.8,C
2020.0,8.0,23.0,26.3,C
2020.0,8.0,24.0,27,C
2020.0,8.0,25.0,28.2,C
2020.0,8.0,26.0,26.7,C
2020.0,8.0,27.0,26.5,C
2020.0,8.0,28.0,26,C
2020.0,8.0,29.0,26.1,C
2020.0,8.0,30.0,26.4,C
2020.0,8.0,31.0,27.6,C
2020.0,9.0,1.0,26.3,#
2020.0,9.0,2.0,26.9,C
2020.0,9.0,3.0,26.4,C
2020.0,9.0,4.0,26.3,C
2020.0,9.0,5.0,24.8,C
2020.0,9.0,6.0,25.9,C
2020.0,9.0,7.0,26.5,C
2020.0,9.0,8.0,25.1,C
2020.0,9.0,9.0,25.7,C
2020.0,9.0,10.0,25.8,C
2020.0,9.0,11.0,26.3,#
2020.0,9.0,12.0,25.6,C
2020.0,9.0,13.0,25.1,C
2020.0,9.0,14.0,25.5,C
2020.0,9.0,15.0,25.6,C
2020.0,9.0,16.0,27.8,C
2020.0,9.0,17.0,26.5,C
2020.0,9.0,18.0,26,C
2020.0,9.0,19.0,25.7,C
2020.0,9.0,20.0,24.8,C
2020.0,9.0,21.0,25.6,C
2020.0,9.0,22.0,26,C
2020.0,9.0,23.0,26.5,C
2020.0,9.0,24.0,25.5,C
2020.0,9.0,25.0,24.7,C
2020.0,9.0,26.0,26.7,C
2020.0,9.0,27.0,26,C
2020.0,9.0,28.0,25.1,C
2020.0,9.0,29.0,25.9,C
2020.0,9.0,30.0,25.1,C
2020.0,10.0,1.0,25.2,C
2020.0,10.0,2.0,24.9,C
2020.0,10.0,3.0,24.8,C
2020.0,10.0,4.0,25.1,C
2020.0,10.0,5.0,25.5,C
2020.0,10.0,6.0,24.8,C
2020.0,10.0,7.0,23.6,C
2020.0,10.0,8.0,22.6,C
2020.0,10.0,9.0,22.9,C
2020.0,10.0,10.0,22.4,C
2020.0,10.0,11.0,23.7,C
2020.0,10.0,12.0,24.9,C
2020.0,10.0,13.0,23.9,C
2020.0,10.0,14.0,24.9,#
2020.0,10.0,15.0,25,C
2020.0,10.0,16.0,25,C
2020.0,10.0,17.0,23.5,C
2020.0,10.0,18.0,21.5,C
2020.0,10.0,19.0,21.7,C
2020.0,10.0,20.0,21.6,C
2020.0,10.0,21.0,20.9,C
2020.0,10.0,22.0,22.6,C
2020.0,10.0,23.0,21.7,C
2020.0,10.0,24.0,21.9,C
2020.0,10.0,25.0,22.5,#
2020.0,10.0,26.0,22.1,C
2020.0,10.0,27.0,22.3,C
2020.0,10.0,28.0,22.7,C
2020.0,10.0,29.0,22.6,C
2020.0,10.0,30.0,22.6,C
2020.0,10.0,31.0,21.2,C
2020.0,11.0,1.0,20.8,#
2020.0,11.0,2.0,20.1,C
2020.0,11.0,3.0,20.7,#
2020.0,11.0,4.0,19.8,C
2020.0,11.0,5.0,20.1,C
2020.0,11.0,6.0,18.9,C
2020.0,11.0,7.0,22.5,C
2020.0,11.0,8.0,23.2,C
2020.0,11.0,9.0,22.4,C
2020.0,11.0,10.0,21.3,C
2020.0,11.0,11.0,19.2,C
2020.0,11.0,12.0,18.6,#
2020.0,11.0,13.0,17.5,C
2020.0,11.0,14.0,21.6,C
2020.0,11.0,15.0,20.9,C
2020.0,11.0,16.0,20.6,C
2020.0,11.0,17.0,22.8,C
2020.0,11.0,18.0,23.2,C
2020.0,11.0,19.0,23.4,C
2020.0,11.0,20.0,23.4,C
2020.0,11.0,21.0,22.6,C
2020.0,11.0,22.0,22.3,C
2020.0,11.0,23.0,21.9,C
2020.0,11.0,24.0,21.7,C
2020.0,11.0,25.0,21.1,C
2020.0,11.0,26.0,20.3,#
2020.0,11.0,27.0,19.3,C
2020.0,11.0,28.0,16.8,C
2020.0,11.0,29.0,16.9,C
2020.0,11.0,30.0,15.2,C
2020.0,12.0,1.0,15.9,#
2020.0,12.0,2.0,15.1,#
2020.0,12.0,3.0,14,C
2020.0,12.0,4.0,12.5,C
2020.0,12.0,5.0,12.1,#
2020.0,12.0,6.0,12.9,#
2020.0,12.0,7.0,15.8,C
2020.0,12.0,8.0,16.4,#
2020.0,12.0,9.0,17.1,C
2020.0,12.0,10.0,18.4,C
2020.0,12.0,11.0,19.7,#
2020.0,12.0,12.0,19.9,C
2020.0,12.0,13.0,19.8,C
2020.0,12.0,14.0,13.7,C
2020.0,12.0,15.0,11.5,C
2020.0,12.0,16.0,11.2,C
2020.0,12.0,17.0,11.4,C
2020.0,12.0,18.0,12.8,C
2020.0,12.0,19.0,10.5,C
2020.0,12.0,20.0,11.3,C
2020.0,12.0,21.0,11.8,C
2020.0,12.0,22.0,13.5,C
2020.0,12.0,23.0,16.1,C
2020.0,12.0,24.0,17.2,C
2020.0,12.0,25.0,16.5,C
2020.0,12.0,26.0,16.2,C
2020.0,12.0,27.0,15.1,#
2020.0,12.0,28.0,14.3,C
2020.0,12.0,29.0,18.1,C
2020.0,12.0,30.0,9.7,#
2020.0,12.0,31.0,7,C
2021.0,1.0,1.0,6.9,C
2021.0,1.0,2.0,6,C
2021.0,1.0,3.0,12,#
2021.0,1.0,4.0,16.7,C
2021.0,1.0,5.0,16.3,C
2021.0,1.0,6.0,13.1,C
2021.0,1.0,7.0,9.6,C
2021.0,1.0,8.0,6.4,C
2021.0,1.0,9.0,6.9,C
2021.0,1.0,10.0,10.6,C
2021.0,1.0,11.0,8.8,C
2021.0,1.0,12.0,6.3,C
2021.0,1.0,13.0,3.4,C
2021.0,1.0,14.0,5.5,C
2021.0,1.0,15.0,9.6,C
2021.0,1.0,16.0,10.5,C
2021.0,1.0,17.0,13.5,C
2021.0,1.0,18.0,9.7,C
2021.0,1.0,19.0,9.2,#
2021.0,1.0,20.0,16,#
2021.0,1.0,21.0,16.5,C
2021.0,1.0,22.0,16.3,#
2021.0,1.0,23.0,15.8,C
2021.0,1.0,24.0,15.1,C
2021.0,1.0,25.0,15.9,C
2021.0,1.0,26.0,14.2,C
2021.0,1.0,27.0,16.5,#
2021.0,1.0,28.0,15,C
2021.0,1.0,29.0,13.4,#
2021.0,1.0,30.0,12.6,#
2021.0,1.0,31.0,12.5,#
2021.0,2.0,1.0,14.3,C
2021.0,2.0,2.0,14.6,C
2021.0,2.0,3.0,15.7,#
2021.0,2.0,4.0,13.8,C
2021.0,2.0,5.0,15.4,C
2021.0,2.0,6.0,12.7,C
2021.0,2.0,7.0,12.7,C
2021.0,2.0,8.0,15.4,C
2021.0,2.0,9.0,16.6,C
2021.0,2.0,10.0,15.3,C
2021.0,2.0,11.0,15.7,C
2021.0,2.0,12.0,12.3,C
2021.0,2.0,13.0,12.9,C
2021.0,2.0,14.0,13.6,C
2021.0,2.0,15.0,13.3,C
2021.0,2.0,16.0,16.1,C
2021.0,2.0,17.0,16,C
2021.0,2.0,18.0,15,C
2021.0,2.0,19.0,13.5,C
2021.0,2.0,20.0,11.7,C
2021.0,2.0,21.0,13,C
2021.0,2.0,22.0,14.4,C
2021.0,2.0,23.0,15.2,C
2021.0,2.0,24.0,18.4,C
2021.0,2.0,25.0,18.3,C
2021.0,2.0,26.0,18.5,#
2021.0,2.0,27.0,16.8,C
2021.0,2.0,28.0,17.1,C
2021.0,3.0,1.0,19.6,C
2021.0,3.0,2.0,17.9,C
2021.0,3.0,3.0,17.2,C
2021.0,3.0,4.0,17.5,C
2021.0,3.0,5.0,19.3,#
2021.0,3.0,6.0,19.7,C
2021.0,3.0,7.0,18.9,C
2021.0,3.0,8.0,17.5,C
2021.0,3.0,9.0,17.8,C
2021.0,3.0,10.0,18.1,C
2021.0,3.0,11.0,18.6,C
2021.0,3.0,12.0,18.2,C
2021.0,3.0,13.0,20.1,#
2021.0,3.0,14.0,19.5,#
2021.0,3.0,15.0,19.6,#
2021.0,3.0,16.0,19.1,C
2021.0,3.0,17.0,19.2,C
2021.0,3.0,18.0,21.6,C
2021.0,3.0,19.0,21.6,C
2021.0,3.0,20.0,20.6,C
2021.0,3.0,21.0,16.3,C
2021.0,3.0,22.0,15.4,C
2021.0,3.0,23.0,17.3,C
2021.0,3.0,24.0,17.2,C
2021.0,3.0,25.0,19.1,C
2021.0,3.0,26.0,19.1,C
2021.0,3.0,27.0,21.3,C
2021.0,3.0,28.0,20.7,C
2021.0,3.0,29.0,23.8,C
2021.0,3.0,30.0,24.6,C
2021.0,3.0,31.0,25.1,C
2021.0,4.0,1.0,24.9,C
2021.0,4.0,2.0,23.6,C
2021.0,4.0,3.0,21.8,C
2021.0,4.0,4.0,22.7,C
2021.0,4.0,5.0,21.3,C
2021.0,4.0,6.0,21.3,C
2021.0,4.0,7.0,21.4,C
2021.0,4.0,8.0,21.3,C
2021.0,4.0,9.0,18.5,C
2021.0,4.0,10.0,19,C
2021.0,4.0,11.0,20.3,C
2021.0,4.0,12.0,20,C
2021.0,4.0,13.0,20.9,C
2021.0,4.0,14.0,21.4,#
2021.0,4.0,15.0,20.9,#
2021.0,4.0,16.0,21.4,C
2021.0,4.0,17.0,21.8,C
2021.0,4.0,18.0,21.5,C
2021.0,4.0,19.0,21,C
2021.0,4.0,20.0,21.1,C
2021.0,4.0,21.0,20.8,C
2021.0,4.0,22.0,21.5,C
2021.0,4.0,23.0,21.7,C
2021.0,4.0,24.0,23.9,C
2021.0,4.0,25.0,21.9,C
2021.0,4.0,26.0,21.4,C
2021.0,4.0,27.0,22.1,C
2021.0,4.0,28.0,22.5,C
2021.0,4.0,29.0,21.2,C
