Year,Month,Day,Value,data Completeness
2021,12,30,77,C
2021,12,31,78,C
2022,1,1,76,C
2022,1,2,77,C
2022,1,3,79,C
2022,1,4,75,C
2022,1,5,75,C
2022,1,6,80,C
2022,1,7,79,C
2022,1,8,75,C
2022,1,9,79,C
2022,1,10,76,C
2022,1,11,70,C
2022,1,12,72,C
2022,1,13,64,C
2022,1,14,75,C
2022,1,15,82,C
2022,1,16,82,C
2022,1,17,84,C
2022,1,18,82,C
2022,1,19,70,C
2022,1,20,73,C
2022,1,21,80,C
2022,1,22,91,C
2022,1,23,84,C
2022,1,24,88,C
2022,1,25,82,C
2022,1,26,83,C
2022,1,27,84,C
2022,1,28,86,C
2022,1,29,81,C
2022,1,30,64,C
2022,1,31,70,C
2022,2,1,84,C
2022,2,2,88,C
2022,2,3,85,C
2022,2,4,69,C
2022,2,5,69,C
2022,2,6,75,C
2022,2,7,85,C
2022,2,8,78,C
2022,2,9,77,C
2022,2,10,81,C
2022,2,11,81,C
2022,2,12,83,C
2022,2,13,86,C
2022,2,14,75,C
2022,2,15,77,C
2022,2,16,77,C
2022,2,17,86,C
2022,2,18,84,C
2022,2,19,92,C
2022,2,20,94,C
2022,2,21,95,C
2022,2,22,96,C
2022,2,23,77,C
2022,2,24,72,C
2022,2,25,70,C
2022,2,26,76,C
2022,2,27,79,C
2022,2,28,70,C
2022,3,1,77,C
2022,3,2,83,C
2022,3,3,76,C
2022,3,4,77,C
2022,3,5,84,C
2022,3,6,77,C
2022,3,7,70,C
2022,3,8,53,C
2022,3,9,57,C
2022,3,10,60,C
2022,3,11,71,C
2022,3,12,68,C
2022,3,13,75,C
2022,3,14,78,C
2022,3,15,80,C
2022,3,16,79,C
2022,3,17,85,C
2022,3,18,84,C
2022,3,19,85,C
2022,3,20,88,C
2022,3,21,89,C
2022,3,22,93,C
2022,3,23,94,C
2022,3,24,91,C
2022,3,25,90,C
2022,3,26,86,C
2022,3,27,83,C
2022,3,28,89,C
2022,3,29,82,C
2022,3,30,74,C
2022,3,31,69,C
2022,4,1,83,C
2022,4,2,76,C
2022,4,3,54,C
2022,4,4,53,C
2022,4,5,64,C
2022,4,6,70,C
2022,4,7,68,C
2022,4,8,50,C
2022,4,9,65,C
2022,4,10,67,C
2022,4,11,74,C
2022,4,12,77,C
2022,4,13,81,C
2022,4,14,69,C
2022,4,15,69,C
2022,4,16,73,C
2022,4,17,72,C
2022,4,18,76,C
2022,4,19,83,C
2022,4,20,75,C
2022,4,21,78,C
2022,4,22,84,C
2022,4,23,81,C
2022,4,24,79,C
2022,4,25,79,C
2022,4,26,80,C
2022,4,27,78,C
2022,4,28,79,C
2022,4,29,79,C
2022,4,30,85,C
2022,5,1,89,C
2022,5,2,84,C
2022,5,3,62,C
2022,5,4,63,C
2022,5,5,73,C
2022,5,6,76,C
2022,5,7,77,C
2022,5,8,70,C
2022,5,9,75,C
2022,5,10,88,C
2022,5,11,95,C
2022,5,12,91,C
2022,5,13,92,C
2022,5,14,93,C
2022,5,15,91,C
2022,5,16,85,C
2022,5,17,72,C
2022,5,18,52,C
2022,5,19,64,C
2022,5,20,76,C
2022,5,21,78,C
2022,5,22,83,C
2022,5,23,90,C
2022,5,24,93,C
2022,5,25,91,C
2022,5,26,88,C
2022,5,27,89,C
2022,5,28,81,C
2022,5,29,79,C
2022,5,30,78,C
2022,5,31,82,C
2022,6,1,81,C
2022,6,2,80,C
2022,6,3,81,C
2022,6,4,78,C
2022,6,5,78,C
2022,6,6,83,C
2022,6,7,86,C
2022,6,8,93,C
2022,6,9,90,C
2022,6,10,92,C
2022,6,11,89,C
2022,6,12,84,C
2022,6,13,80,C
2022,6,14,87,C
2022,6,15,88,C
2022,6,16,84,C
2022,6,17,79,C
2022,6,18,81,C
2022,6,19,81,C
2022,6,20,80,C
2022,6,21,80,C
2022,6,22,78,C
2022,6,23,74,C
2022,6,24,73,C
2022,6,25,74,C
2022,6,26,74,C
2022,6,27,73,C
2022,6,28,71,C
2022,6,29,78,C
2022,6,30,89,C
2022,7,1,85,C
2022,7,2,89,C
2022,7,3,82,C
2022,7,4,83,C
2022,7,5,82,C
2022,7,6,81,C
2022,7,7,86,C
2022,7,8,79,C
2022,7,9,81,C
2022,7,10,77,C
2022,7,11,73,C
2022,7,12,72,C
2022,7,13,71,C
2022,7,14,75,C
2022,7,15,77,C
2022,7,16,77,C
2022,7,17,76,C
2022,7,18,78,C
2022,7,19,75,C
2022,7,20,76,C
2022,7,21,74,C
2022,7,22,72,C
2022,7,23,74,C
2022,7,24,72,C
2022,7,25,74,C
2022,7,26,71,C
2022,7,27,69,C
2022,7,28,73,C
2022,7,29,74,C
2022,7,30,81,C
2022,7,31,76,C
2022,8,1,69,C
2022,8,2,70,C
2022,8,3,82,C
2022,8,4,86,C
2022,8,5,94,C
2022,8,6,89,C
2022,8,7,82,C
2022,8,8,87,C
2022,8,9,88,C
2022,8,10,90,C
2022,8,11,90,C
2022,8,12,93,C
2022,8,13,81,C
2022,8,14,78,C
2022,8,15,78,C
2022,8,16,82,C
2022,8,17,86,C
2022,8,18,87,C
2022,8,19,85,C
2022,8,20,83,C
2022,8,21,84,C
2022,8,22,77,C
2022,8,23,77,C
2022,8,24,73,C
2022,8,25,85,C
2022,8,26,80,C
2022,8,27,78,C
2022,8,28,80,C
2022,8,29,78,C
2022,8,30,80,C
2022,8,31,80,C
2022,9,1,78,C
2022,9,2,63,C
2022,9,3,54,C
2022,9,4,55,C
2022,9,5,52,C
2022,9,6,61,C
2022,9,7,81,C
2022,9,8,70,C
2022,9,9,55,C
2022,9,10,76,C
2022,9,11,78,C
2022,9,12,66,C
2022,9,13,56,C
2022,9,14,46,C
2022,9,15,52,C
2022,9,16,63,C
2022,9,17,69,C
2022,9,18,77,C
2022,9,19,77,C
2022,9,20,79,C
2022,9,21,72,C
2022,9,22,73,C
2022,9,23,77,C
2022,9,24,71,C
2022,9,25,71,C
2022,9,26,70,C
2022,9,27,72,C
2022,9,28,73,C
2022,9,29,81,C
2022,9,30,91,C
2022,10,1,86,C
2022,10,2,81,C
2022,10,3,76,C
2022,10,4,76,C
2022,10,5,75,C
2022,10,6,74,C
2022,10,7,77,C
2022,10,8,71,C
2022,10,9,71,C
2022,10,10,51,C
2022,10,11,48,C
2022,10,12,50,C
2022,10,13,60,C
2022,10,14,66,C
2022,10,15,53,C
2022,10,16,46,C
2022,10,17,45,C
2022,10,18,67,C
2022,10,19,54,C
2022,10,20,64,C
2022,10,21,68,C
2022,10,22,67,C
2022,10,23,71,C
2022,10,24,68,C
2022,10,25,63,C
2022,10,26,66,C
2022,10,27,70,C
2022,10,28,68,C
2022,10,29,65,C
2022,10,30,57,C
2022,10,31,50,C
2022,11,1,64,C
2022,11,2,86,C
2022,11,3,93,C
2022,11,4,87,C
2022,11,5,79,C
2022,11,6,84,C
2022,11,7,85,C
2022,11,8,85,C
2022,11,9,77,C
2022,11,10,78,C
2022,11,11,77,C
2022,11,12,79,C
2022,11,13,81,C
2022,11,14,79,C
2022,11,15,78,C
2022,11,16,80,C
2022,11,17,80,C
2022,11,18,80,C
2022,11,19,77,C
2022,11,20,78,C
2022,11,21,78,C
2022,11,22,86,C
2022,11,23,91,C
2022,11,24,93,C
2022,11,25,92,C
2022,11,26,88,C
2022,11,27,90,C
2022,11,28,88,C
2022,11,29,85,C
2022,11,30,82,C
2022,12,1,72,C
2022,12,2,69,C
2022,12,3,73,C
2022,12,4,74,C
2022,12,5,66,C
2022,12,6,68,C
2022,12,7,68,C
2022,12,8,72,C
2022,12,9,67,C
2022,12,10,61,C
2022,12,11,60,C
2022,12,12,61,C
2022,12,13,71,C
2022,12,14,91,C
2022,12,15,91,C
2022,12,16,90,C
2022,12,17,60,C
2022,12,18,30,C
2022,12,19,50,C
2022,12,20,71,C
2022,12,21,46,C
2022,12,22,35,C
2022,12,23,40,C
2022,12,24,49,C
2022,12,25,59,C
2022,12,26,65,C
2022,12,27,70,C
2022,12,28,68,C
2022,12,29,60,C
2022,12,30,62,C
2022,12,31,65,C
2023,1,1,65,C
2023,1,2,65,C
2023,1,3,69,C
2023,1,4,74,C
2023,1,5,77,C
2023,1,6,62,C
2023,1,7,59,C
2023,1,8,57,C
2023,1,9,72,C
2023,1,10,91,C
2023,1,11,87,C
2023,1,12,88,C
2023,1,13,93,C
2023,1,14,90,C
2023,1,15,80,C
2023,1,16,66,C
2023,1,17,71,C
2023,1,18,58,C
2023,1,19,63,C
2023,1,20,62,C
2023,1,21,79,C
2023,1,22,83,C
2023,1,23,86,C
2023,1,24,51,C
2023,1,25,54,C
2023,1,26,66,C
2023,1,27,46,C
2023,1,28,28,C
2023,1,29,35,C
2023,1,30,48,C
2023,1,31,61,C
2023,2,1,77,C
2023,2,2,77,C
2023,2,3,76,C
2023,2,4,81,C
2023,2,5,83,C
2023,2,6,85,C
2023,2,7,83,C
2023,2,8,84,C
2023,2,9,83,C
2023,2,10,87,C
2023,2,11,93,C
2023,2,12,95,C
2023,2,13,88,C
2023,2,14,64,C
2023,2,15,60,C
2023,2,16,62,C
2023,2,17,70,C
2023,2,18,67,C
2023,2,19,67,C
2023,2,20,64,C
2023,2,21,62,C
2023,2,22,61,C
2023,2,23,70,C
2023,2,24,67,C
2023,2,25,54,C
2023,2,26,58,C
2023,2,27,60,C
2023,2,28,71,C
2023,3,1,71,C
2023,3,2,70,C
2023,3,3,56,C
2023,3,4,65,C
2023,3,5,57,C
2023,3,6,50,C
2023,3,7,56,C
2023,3,8,77,C
2023,3,9,75,C
2023,3,10,68,C
2023,3,11,67,C
2023,3,12,71,C
2023,3,13,64,C
2023,3,14,73,C
2023,3,15,77,C
2023,3,16,72,C
2023,3,17,83,C
2023,3,18,80,C
2023,3,19,86,C
2023,3,20,88,C
2023,3,21,85,C
2023,3,22,83,C
2023,3,23,81,C
2023,3,24,80,C
2023,3,25,89,C
2023,3,26,91,C
2023,3,27,86,C
2023,3,28,84,C
2023,3,29,86,C
2023,3,30,89,C
2023,3,31,92,C
2023,4,1,89,C
2023,4,2,92,C
2023,4,3,90,C
2023,4,4,90,C
2023,4,5,89,C
2023,4,6,87,C
2023,4,7,74,C
2023,4,8,73,C
2023,4,9,72,C
2023,4,10,80,C
2023,4,11,81,C
2023,4,12,76,C
2023,4,13,78,C
2023,4,14,80,C
2023,4,15,70,C
2023,4,16,69,C
2023,4,17,80,C
2023,4,18,81,C
2023,4,19,81,C
2023,4,20,94,C
2023,4,21,90,C
2023,4,22,89,C
2023,4,23,91,C
2023,4,24,89,C
2023,4,25,91,C
2023,4,26,73,C
2023,4,27,80,C
2023,4,28,84,C
2023,4,29,82,C
2023,4,30,73,C
2023,5,1,78,C
2023,5,2,74,C
2023,5,3,84,C
2023,5,4,84,C
2023,5,5,80,C
2023,5,6,82,C
2023,5,7,86,C
2023,5,8,88,C
2023,5,9,78,C
2023,5,10,70,C
2023,5,11,76,C
2023,5,12,77,C
2023,5,13,85,C
2023,5,14,93,C
2023,5,15,84,C
2023,5,16,87,C
2023,5,17,89,C
2023,5,18,83,C
2023,5,19,82,C
2023,5,20,80,C
2023,5,21,79,C
2023,5,22,76,C
2023,5,23,88,C
2023,5,24,88,C
2023,5,25,89,C
2023,5,26,87,C
2023,5,27,81,C
2023,5,28,75,C
2023,5,29,73,C
2023,5,30,74,C
2023,5,31,77,C
2023,6,1,79,C
2023,6,2,76,C
2023,6,3,76,C
2023,6,4,81,C
2023,6,5,79,C
2023,6,6,87,C
2023,6,7,88,C
2023,6,8,82,C
2023,6,9,83,C
2023,6,10,79,C
2023,6,11,83,C
2023,6,12,77,C
2023,6,13,81,C
2023,6,14,88,C
2023,6,15,91,C
2023,6,16,92,C
2023,6,17,94,C
2023,6,18,89,C
2023,6,19,83,C
2023,6,20,80,C
2023,6,21,79,C
2023,6,22,77,C
2023,6,23,80,C
2023,6,24,85,C
2023,6,25,83,C
2023,6,26,83,C
2023,6,27,80,C
2023,6,28,86,C
2023,6,29,84,C
2023,6,30,82,C
2023,7,1,82,C
2023,7,2,89,C
2023,7,3,83,C
2023,7,4,82,C
2023,7,5,77,C
2023,7,6,77,C
2023,7,7,76,C
2023,7,8,76,C
2023,7,9,77,C
2023,7,10,75,C
2023,7,11,76,C
2023,7,12,74,C
2023,7,13,71,C
2023,7,14,71,C
2023,7,15,74,C
2023,7,16,75,C
2023,7,17,85,C
2023,7,18,86,C
2023,7,19,88,C
2023,7,20,80,C
2023,7,21,79,C
2023,7,22,76,C
2023,7,23,77,C
2023,7,24,76,C
2023,7,25,73,C
2023,7,26,72,C
2023,7,27,67,C
2023,7,28,72,C
2023,7,29,84,C
2023,7,30,87,C
2023,7,31,84,C
2023,8,1,80,C
2023,8,2,70,C
2023,8,3,73,C
2023,8,4,77,C
2023,8,5,79,C
2023,8,6,78,C
2023,8,7,76,C
2023,8,8,74,C
2023,8,9,76,C
2023,8,10,82,C
2023,8,11,85,C
2023,8,12,79,C
2023,8,13,84,C
2023,8,14,82,C
2023,8,15,80,C
2023,8,16,78,C
2023,8,17,82,C
2023,8,18,86,C
2023,8,19,84,C
2023,8,20,80,C
2023,8,21,82,C
2023,8,22,79,C
2023,8,23,78,C
2023,8,24,85,C
2023,8,25,83,C
2023,8,26,83,C
2023,8,27,84,C
2023,8,28,81,C
2023,8,29,83,C
2023,8,30,72,C
2023,8,31,70,C
2023,9,1,81,C
2023,9,2,92,C
2023,9,3,76,C
2023,9,4,73,C
2023,9,5,73,C
2023,9,6,72,C
2023,9,7,89,C
2023,9,8,94,C
2023,9,9,92,C
2023,9,10,93,C
2023,9,11,93,C
2023,9,12,89,C
2023,9,13,88,C
2023,9,14,92,C
2023,9,15,89,C
2023,9,16,89,C
2023,9,17,85,C
2023,9,18,80,C
2023,9,19,79,C
2023,9,20,76,C
2023,9,21,77,C
2023,9,22,75,C
2023,9,23,74,C
2023,9,24,75,C
2023,9,25,76,C
2023,9,26,75,C
2023,9,27,72,C
2023,9,28,71,C
2023,9,29,78,C
2023,9,30,75,C
2023,10,1,77,C
2023,10,2,76,C
2023,10,3,78,C
2023,10,4,73,C
2023,10,5,58,C
2023,10,6,62,C
2023,10,7,74,C
2023,10,8,87,C
2023,10,9,94,C
2023,10,10,83,C
2023,10,11,75,C
2023,10,12,72,C
2023,10,13,67,C
2023,10,14,66,C
2023,10,15,72,C
2023,10,16,70,C
2023,10,17,61,C
2023,10,18,85,C
2023,10,19,91,C
2023,10,20,82,C
2023,10,21,76,C
2023,10,22,71,C
2023,10,23,77,C
2023,10,24,76,C
2023,10,25,80,C
2023,10,26,78,C
2023,10,27,81,C
2023,10,28,85,C
2023,10,29,79,C
2023,10,30,77,C
2023,10,31,70,C
2023,11,1,70,C
2023,11,2,75,C
2023,11,3,78,C
2023,11,4,76,C
2023,11,5,77,C
2023,11,6,65,C
2023,11,7,70,C
2023,11,8,77,C
2023,11,9,81,C
2023,11,10,82,C
2023,11,11,85,C
2023,11,12,77,C
2023,11,13,67,C
2023,11,14,70,C
2023,11,15,71,C
2023,11,16,65,C
2023,11,17,37,C
2023,11,18,42,C
2023,11,19,59,C
2023,11,20,65,C
2023,11,21,70,C
2023,11,22,73,C
2023,11,23,74,C
2023,11,24,67,C
2023,11,25,66,C
2023,11,26,68,C
2023,11,27,68,C
2023,11,28,61,C
2023,11,29,73,C
2023,11,30,73,C
2023,12,1,69,C
2023,12,2,70,C
2023,12,3,73,C
2023,12,4,76,C
2023,12,5,73,C
2023,12,6,67,C
2023,12,7,47,C
2023,12,8,68,C
2023,12,9,80,C
2023,12,10,80,C
2023,12,11,85,C
2023,12,12,80,C
2023,12,13,82,C
2023,12,14,81,C
2023,12,15,81,C
2023,12,16,71,C
2023,12,17,69,C
2023,12,18,80,C
2023,12,19,75,C
2023,12,20,65,C
2023,12,21,65,C
2023,12,22,51,C
2023,12,23,58,C
2023,12,24,52,C
2023,12,25,51,C
2023,12,26,63,C
2023,12,27,62,C
2023,12,28,73,C
2023,12,29,79,C
2023,12,30,70,C
2023,12,31,73,C
